dp_id,dp_life_id,desc_count
rhc1,rhc1,1
rhc10,rhc10,1
rhc100,obpdef2-494-18770528,1
rhc1000,rhc1000,1
rhc10000,rhc10000,1
rhc100000,rhc100000,2
rhc100001,rhc100001,4
rhc100002,rhc100002,6
rhc100003,rhc100003,1
rhc100004,rhc100004,1
rhc100005,rhc100005,5
rhc100006,rhc100006,3
rhc100007,rhc100007,4
rhc100008,rhc100008,6
rhc100009,rhc100009,1
rhc10001,rhc10001,1
rhc100010,rhc100010,3
rhc100011,rhc100011,4
rhc100012,rhc100012,4
rhc100013,rhc100013,4
rhc100014,rhc100014,6
rhc100015,rhc100015,1
rhc100016,rhc100016,1
rhc100017,rhc100017,1
rhc100018,rhc100018,2
rhc100019,rhc100019,2
rhc10002,rhc10002,1
rhc100020,rhc100020,2
rhc100021,rhc100021,2
rhc100022,rhc100022,4
rhc100023,rhc100023,1
rhc100024,rhc100024,1
rhc100025,rhc100025,2
rhc100026,rhc100026,1
rhc100027,rhc100027,1
rhc100028,rhc100028,1
rhc100029,rhc100029,2
rhc10003,rhc10003,1
rhc100030,rhc100030,1
rhc100031,rhc100031,1
rhc100032,rhc100032,1
rhc100033,obpdef1-350-19020505,4
rhc100034,rhc100034,1
rhc100035,rhc100035,1
rhc100036,rhc100036,6
rhc100037,obpdef3-7-19101011,1
rhc100038,rhc100038,7
rhc100039,rhc100039,3
rhc10004,rhc10004,1
rhc100040,rhc100040,1
rhc100041,rhc100041,10
rhc100042,rhc100042,2
rhc100043,obpdef1-78-19090112,1
rhc100044,rhc100044,1
rhc100045,rhc100045,2
rhc100046,rhc100046,2
rhc100047,rhc100047,2
rhc100048,rhc100048,3
rhc100049,rhc100049,3
rhc10005,rhc10005,1
rhc100050,rhc100050,4
rhc100051,rhc100051,3
rhc100052,rhc100052,2
rhc100053,rhc100053,4
rhc100054,rhc100054,1
rhc100055,rhc100055,1
rhc100056,rhc100056,1
rhc100057,rhc100057,1
rhc100058,rhc100058,4
rhc100059,rhc100059,1
rhc10006,rhc10006,1
rhc100060,rhc100060,1
rhc100061,rhc100061,3
rhc100062,rhc100062,1
rhc100063,rhc100063,1
rhc100064,rhc100064,1
rhc100065,rhc100065,1
rhc100066,rhc100066,1
rhc100067,rhc100067,4
rhc100068,rhc100068,2
rhc100069,rhc100069,2
rhc10007,rhc10007,1
rhc100070,rhc100070,2
rhc100071,rhc100071,3
rhc100072,rhc100072,17
rhc100073,rhc100073,4
rhc100074,obpdef1-36-19061119,1
rhc100075,rhc100075,1
rhc100076,rhc100076,3
rhc100077,obpdef1-97-18921212,4
rhc100078,rhc100078,2
rhc100079,obpdef2-263-18820130,1
rhc10008,rhc10008,1
rhc100080,rhc100080,1
rhc100081,rhc100081,2
rhc100082,rhc100082,1
rhc100083,rhc100083,2
rhc100084,rhc100084,10
rhc100085,rhc100085,7
rhc100086,rhc100086,1
rhc100087,rhc100087,10
rhc100088,rhc100088,1
rhc100089,rhc100089,1
rhc10009,rhc10009,1
rhc100090,rhc100090,6
rhc100091,rhc100091,1
rhc100092,rhc100092,7
rhc100093,rhc100093,8
rhc100094,rhc100094,3
rhc100095,rhc100095,1
rhc100096,rhc100096,1
rhc100097,rhc100097,1
rhc100098,rhc100098,1
rhc100099,rhc100099,3
rhc1001,rhc1001,1
rhc10010,rhc10010,1
rhc100100,rhc100100,4
rhc100101,rhc100101,1
rhc100102,rhc100102,1
rhc100103,rhc100103,4
rhc100104,rhc100104,2
rhc100105,rhc100105,3
rhc100106,rhc100106,4
rhc100107,rhc100107,2
rhc100108,obpdef1-20-19100426,4
rhc100109,rhc100109,1
rhc10011,rhc10011,2
rhc100110,rhc100110,2
rhc100111,rhc100111,1
rhc100112,rhc100112,1
rhc100113,rhc100113,1
rhc100114,obpdef1-16-19100405,1
rhc100115,rhc100115,10
rhc100116,rhc100116,3
rhc100117,rhc100117,8
rhc100118,obpdef1-531-18860503,12
rhc100119,rhc100119,2
rhc10012,rhc10012,1
rhc100120,rhc100120,3
rhc100121,rhc100121,4
rhc100122,rhc100122,8
rhc100123,rhc100123,5
rhc100124,rhc100124,1
rhc100125,rhc100125,2
rhc100126,rhc100126,1
rhc100127,rhc100127,1
rhc100128,rhc100128,1
rhc100129,rhc100129,3
rhc10013,rhc10013,1
rhc100130,rhc100130,8
rhc100131,obpdef2-71-19080908,2
rhc100132,rhc100132,1
rhc100133,rhc100133,2
rhc100134,rhc100134,2
rhc100135,obpdef1-334-18880227,2
rhc100136,rhc100136,4
rhc100137,rhc100137,3
rhc100138,rhc100138,3
rhc100139,rhc100139,3
rhc10014,rhc10014,1
rhc100140,rhc100140,4
rhc100141,rhc100141,2
rhc100142,rhc100142,3
rhc100143,rhc100143,4
rhc100144,rhc100144,1
rhc100145,rhc100145,4
rhc100146,rhc100146,1
rhc100147,rhc100147,5
rhc100148,rhc100148,2
rhc100149,rhc100149,2
rhc10015,obpdef1-358a-18760501,1
rhc100150,rhc100150,1
rhc100151,rhc100151,4
rhc100152,rhc100152,3
rhc100153,rhc100153,4
rhc100154,rhc100154,1
rhc100155,rhc100155,2
rhc100156,rhc100156,3
rhc100157,rhc100157,4
rhc100158,rhc100158,4
rhc100159,rhc100159,3
rhc10016,rhc10016,1
rhc100160,rhc100160,4
rhc100161,rhc100161,2
rhc100162,rhc100162,2
rhc100163,rhc100163,2
rhc100164,rhc100164,1
rhc100165,rhc100165,1
rhc100166,rhc100166,1
rhc100167,obpdef1-905-18661022,5
rhc100168,rhc100168,4
rhc100169,rhc100169,6
rhc10017,rhc10017,1
rhc100170,rhc100170,1
rhc100171,rhc100171,3
rhc100172,rhc100172,1
rhc100173,rhc100173,1
rhc100174,rhc100174,2
rhc100175,rhc100175,1
rhc100176,rhc100176,3
rhc100177,rhc100177,1
rhc100178,rhc100178,1
rhc100179,rhc100179,1
rhc10018,rhc10018,1
rhc100180,rhc100180,3
rhc100181,rhc100181,1
rhc100182,rhc100182,8
rhc100183,rhc100183,2
rhc100184,rhc100184,2
rhc100185,rhc100185,1
rhc100186,obpdef1-54-19061119,1
rhc100187,rhc100187,1
rhc100188,rhc100188,4
rhc100189,rhc100189,2
rhc10019,rhc10019,1
rhc100190,rhc100190,1
rhc100191,rhc100191,4
rhc100192,obpdef1-14-19090907,1
rhc100193,rhc100193,1
rhc100194,rhc100194,2
rhc100195,rhc100195,1
rhc100196,rhc100196,1
rhc100197,rhc100197,1
rhc100198,rhc100198,1
rhc100199,rhc100199,3
rhc1002,rhc1002,1
rhc10020,obpdef1-862-18640919,1
rhc100200,rhc100200,5
rhc100201,rhc100201,1
rhc100202,rhc100202,2
rhc100203,rhc100203,1
rhc100204,rhc100204,1
rhc100205,rhc100205,1
rhc100206,rhc100206,1
rhc100207,rhc100207,1
rhc100208,rhc100208,3
rhc100209,rhc100209,2
rhc10021,rhc10021,1
rhc100210,obpdef1-17-19091207,1
rhc100211,rhc100211,1
rhc100212,rhc100212,3
rhc100213,rhc100213,12
rhc100214,obpdef1-820-18920912,3
rhc100215,rhc100215,3
rhc100216,rhc100216,1
rhc100217,rhc100217,1
rhc100218,rhc100218,1
rhc100219,rhc100219,1
rhc10022,rhc10022,1
rhc100220,rhc100220,1
rhc100221,rhc100221,1
rhc100222,rhc100222,1
rhc100223,rhc100223,1
rhc100224,rhc100224,3
rhc100225,rhc100225,1
rhc100226,rhc100226,1
rhc100227,rhc100227,1
rhc100228,rhc100228,1
rhc100229,rhc100229,1
rhc10023,rhc10023,1
rhc100230,rhc100230,1
rhc100231,rhc100231,1
rhc100232,rhc100232,1
rhc100233,rhc100233,1
rhc100234,rhc100234,2
rhc100235,rhc100235,2
rhc100236,rhc100236,1
rhc100237,rhc100237,1
rhc100238,rhc100238,2
rhc100239,rhc100239,1
rhc10024,rhc10024,1
rhc100240,rhc100240,2
rhc100241,rhc100241,1
rhc100242,rhc100242,1
rhc100243,rhc100243,1
rhc100244,obpdef1-44-19031116,1
rhc100245,rhc100245,2
rhc100246,obpdef1-12-19080428,3
rhc100247,obpdef1-5-19041114,1
rhc100248,rhc100248,5
rhc100249,rhc100249,6
rhc10025,rhc10025,1
rhc100250,rhc100250,4
rhc100251,rhc100251,1
rhc100252,rhc100252,1
rhc100253,rhc100253,1
rhc100254,rhc100254,2
rhc100255,rhc100255,2
rhc100256,rhc100256,5
rhc100257,rhc100257,4
rhc100258,rhc100258,7
rhc100259,rhc100259,1
rhc10026,rhc10026,1
rhc100260,rhc100260,3
rhc100261,rhc100261,1
rhc100262,rhc100262,4
rhc100263,rhc100263,9
rhc100264,rhc100264,3
rhc100265,rhc100265,5
rhc100266,rhc100266,1
rhc100267,rhc100267,5
rhc100268,rhc100268,7
rhc100269,rhc100269,2
rhc10027,rhc10027,1
rhc100270,rhc100270,4
rhc100271,rhc100271,1
rhc100272,rhc100272,2
rhc100273,rhc100273,1
rhc100274,rhc100274,9
rhc100275,rhc100275,5
rhc100276,rhc100276,3
rhc100277,rhc100277,3
rhc100278,rhc100278,1
rhc100279,rhc100279,1
rhc10028,rhc10028,1
rhc100280,rhc100280,4
